Question Number,Question,Option A,Option B,Option C,Option D,Correct Option,correct_ans_longest
30,Why is calcium important for the body?,It cools muscles after exercise.,It strengthens bones and teeth.,It replaces blood cells weekly.,It cleanses the digestive tract.,B,False
31,Why do deserts cool quickly after sunset?,Stars radiate cold energy.,Wind increases after dark.,Dry air retains little heat.,Sand reflects nighttime light.,C,False
32,Why is the sky blue during the day?,Air scatters blue light more than others.,Clouds filter out warmer light.,Water vapor dyes the sky.,The sun emits blue rays at noon.,A,False
33,Why is plastic a poor conductor of electricity?,It lacks free-moving electrons.,It is chemically unstable.,It blocks sunlight.,It shrinks under heat.,A,False
34,Why does metal feel colder than wood at room temperature?,Wood traps colder air.,Metal conducts heat away faster.,Wood releases heat slowly.,Metal reflects cold light.,B,False
35,Why do astronauts wear pressurized suits in space?,To protect against vacuum and radiation.,To improve vision in darkness.,To absorb solar power.,To help them float evenly.,A,True
36,Why is reading comprehension important?,It enables deeper understanding of content.,It simplifies grammar rules.,It replaces listening skills.,It speeds up word recognition only.,A,False
37,Why is biodiversity important for ecosystems?,It provides resilience to changes.,It reduces carbon entirely.,It lowers predator populations.,It speeds up plant growth.,A,False
38,Why is carbon dioxide a greenhouse gas?,It cools land quickly.,It reflects all UV radiation.,It traps heat in Earth's atmosphere.,It breaks down oxygen.,C,False
39,Why does salt melt ice on roads?,It makes air colder.,It bonds ice to asphalt.,It absorbs solar heat faster.,It lowers water's freezing point.,D,False
40,Why do magnets attract iron?,Iron atoms align with magnetic fields.,Iron holds magnetic water.,Magnets contain iron inside.,Iron repels gravity.,A,True
41,Why do airplanes leave trails in the sky?,Wings scratch the atmosphere.,Water vapor condenses in cold air.,Air reflects engine light.,The plane burns colored fuel.,B,False
42,Why does food cook faster in a pressure cooker?,Steam adds more flavor.,Water vibrates more quickly.,Higher pressure raises boiling point.,The pot spins heat inside.,C,False
43,Why does iron rust when exposed to water and air?,Oxygen reacts with metal.,Rust is formed by bacteria.,Iron breaks into dust.,Water freezes on the surface.,A,False
44,Why do tides occur on Earth?,Earth's spin generates suction.,Sunlight heats oceans daily.,Moon's gravity pulls water.,Winds push water in circles.,C,False
45,Why does water form droplets on a surface?,Surface tension pulls molecules together.,Water cools rapidly on contact.,Water sticks to smooth textures.,Air pressure is stronger outdoors.,A,False
46,Why is recycling important for the environment?,It makes trash easier to burn.,It prevents heat from escaping Earth.,It increases factory production.,It reduces waste and conserves resources.,D,False
47,Why is it dangerous to touch electrical wires with wet hands?,Wires expand when wet.,Hands attract static charges.,Water conducts electricity.,Wet skin repels voltage.,C,False
48,Why do we see lightning before hearing thunder?,Light travels faster than sound.,Sound is absorbed by clouds.,Thunder comes from ground echoes.,Lightning doesn't create sound.,A,False
49,Why does a black shirt feel hotter in sunlight?,Sunlight passes through black dye.,Dark colors absorb more heat.,Heat is drawn to dark textures.,Black reflects hot air.,B,False
50,Why do icebergs float in the ocean?,Air bubbles lift them up.,Ice is less dense than seawater.,Salt pushes them upward.,Cold water increases lift.,B,False
51,Why does sugar dissolve faster in hot water than cold?,Heat speeds up molecule movement.,Cold water repels sugar.,Water expands sugar crystals.,Sugar softens in heat.,A,False
52,Why do we wear sunglasses on sunny days?,To trap heat near the face.,To magnify the sunlight.,To block harmful UV rays.,To adjust our internal clock.,C,False
53,Why is it easier to float in saltwater than freshwater?,Freshwater cools the skin faster.,Saltwater vibrates slower.,Saltwater is denser and adds buoyancy.,Salt reduces gravity in water.,C,False
54,Why do we need red blood cells?,They protect bones from damage.,They help digest protein.,They carry oxygen to tissues.,They absorb sunlight.,C,False
55,Why do some animals hibernate?,To conserve energy in winter.,To protect nests from water.,To increase their metabolism.,To migrate underground.,A,False
56,Why are electric cars considered eco-friendly?,They never need brakes.,They produce no direct emissions.,They run only during the day.,They use thinner tires.,B,False
57,Why is handwashing effective at stopping disease?,It dries hands quickly.,It spreads good bacteria.,It warms the skin.,It removes germs and viruses.,D,False
58,Why do we blink automatically?,To reflect brain signals.,To limit eye movement.,To control face temperature.,To protect and moisten eyes.,D,False
59,Why is sunlight important for plants?,It helps them produce food.,It prevents leaf color change.,It hardens the stem.,It makes roots grow deeper.,A,False
60,Why are batteries used in portable devices?,They cool down fast in use.,They emit heat for small circuits.,They change sound into movement.,They store and release electrical energy.,D,False
61,Why do fish have gills instead of lungs?,Lungs are too large for fish.,Lungs would float in water.,Gills extract oxygen from water.,Gills store energy for movement.,C,False
62,Why is iron used to make tools?,It rusts quickly in air.,It is strong and durable.,It bends easily under pressure.,It floats when cooled.,B,False
63,Why do we boil water before drinking it?,To reduce oxygen content.,To make it lighter.,To add minerals.,To kill bacteria and viruses.,D,False
64,Why is a rainbow curved?,Rain falls in circular motion.,Light bends and reflects in water droplets.,Wind shapes the sunlight.,Clouds push colors into arcs.,B,True
65,Why do we yawn when tired?,To block out noise.,To lower heart rate.,To warm the throat.,To increase oxygen to the brain.,D,True
66,Why is stainless steel used in kitchens?,It absorbs heat very slowly.,It resists rust and is easy to clean.,It sharpens over time.,It changes color with light.,B,False
67,Why does a compass point north?,It is pulled by the sun.,It aligns with Earth’s magnetic field.,It detects sound waves.,It tracks ocean currents.,B,True
68,Why is teamwork important in group projects?,It reduces the need to plan.,It allows shared ideas and efforts.,It guarantees fewer errors.,It limits personal accountability.,B,False
69,Why do seeds need water to germinate?,Water breaks down carbon dioxide.,Water keeps seeds dry.,Water activates growth enzymes.,Water hardens the outer shell.,C,False
70,Why do we wear helmets while biking?,To balance body posture.,To protect the head from injury.,To reduce wind resistance.,To block sunlight from the eyes.,B,False
71,Why do satellites stay in orbit around Earth?,They bounce off the atmosphere.,Solar power keeps them floating.,Earth's wind holds them up.,Gravity and forward motion balance out.,D,False
72,Why does metal expand when heated?,Cold air escapes from it.,Metal absorbs sunlight fully.,Heat adds weight to metal.,Atoms move more and take up space.,D,False
73,Why are dams built on rivers?,To raise ocean levels.,To control water flow and store it.,To heat nearby land.,To increase fish population.,B,False
74,Why is it easier to hear at night in open areas?,Trees push sound lower.,Daylight breaks up sound waves.,Stars reflect noise downward.,Cooler air carries sound farther.,D,False
75,Why do we see stars only at night?,Air glows less after sunset.,Stars move toward night skies.,Sunlight outshines distant stars.,Stars only appear in darkness.,C,False
76,Why is touch important for humans?,It helps detect pressure and temperature.,It keeps bones flexible.,It spreads body heat.,It directs muscle growth.,A,True
77,Why is glass transparent?,It traps only red light.,It lacks a reflective surface.,Light passes through its uniform structure.,Its molecules are cold.,C,True
78,Why does soap clean oily hands?,Soap burns oil off quickly.,It freezes the oil.,It dries oil with air.,Soap breaks oil into smaller bits.,D,False
79,Why do onions make people cry?,They cool the face rapidly.,Their texture is sharp.,Their color is too bright.,They release a gas that irritates eyes.,D,True
80,Why does hot air rise?,Light heats air molecules.,Heat pushes air downward.,Warm air is lighter than cool air.,Cold sinks and pulls up heat.,C,False
81,Why do we stretch before exercising?,To slow down heart rate.,To build muscle mass.,To reduce injury and improve flexibility.,To increase body temperature.,C,True
82,Why does fog form in the early morning?,Wind spreads sea spray inland.,Trees release vapor at night.,Sunlight pulls water from soil.,Cool air condenses moisture near the ground.,D,True
83,Why is blood red?,It reflects red light from veins.,Carbon dioxide colors the cells.,Hemoglobin binds with oxygen.,Blood heats up during flow.,C,False
84,Why are bridges built in arches?,They avoid bird interference.,Arches distribute weight evenly.,Curves reduce construction time.,Arches trap cold air below.,B,False
85,Why do our pupils get larger in the dark?,To cool the eye.,To let in more light.,To reflect surrounding color.,To increase blood flow.,B,False
86,Why do birds fly in V formation?,It saves energy through air currents.,It avoids flying into wind.,It lets them fly faster.,It helps spot predators.,A,True
87,Why is exercise good for the heart?,It cools blood in veins.,It strengthens heart muscles.,It thickens artery walls.,It slows oxygen flow.,B,False
88,Why do mirrors reflect light?,They absorb and release brightness.,Their surface bounces light back.,They heat up quickly.,They repel darkness.,B,False
89,Why is iron important in the diet?,It lowers body heat.,It helps carry oxygen in blood.,It helps digest fat.,It keeps bones hard.,B,True
90,Why does a ball roll down a slope?,Gravity pulls it downhill.,Friction increases uphill.,The air gets thinner.,Wind pushes it forward.,A,False
91,Why is photosynthesis important for the environment?,It colors fruits and flowers.,It cools plant leaves.,It produces oxygen and absorbs carbon dioxide.,It keeps soil moist.,C,True
92,Why do camels store fat in their humps?,To balance their body weight.,To store water directly.,For energy during long periods without food.,To protect them from sunburn.,C,True
93,Why is the heart divided into four chambers?,To cool blood evenly.,To slow down the heartbeat.,To separate oxygenated and deoxygenated blood.,To remove carbon dioxide directly.,C,True
94,Why do astronauts experience muscle loss in space?,Lack of gravity reduces muscle use.,Their suits are too tight.,They eat fewer proteins.,They sleep longer in orbit.,A,False
95,Why does bread turn brown when toasted?,Air reacts with flour.,Steam turns it darker.,Heat causes a chemical reaction with sugars.,The crust absorbs moisture.,C,True
96,Why do ants follow each other in a line?,They mimic enemy movements.,They look for warmer spots.,They follow scent trails.,They avoid being seen.,C,False
97,Why do athletes need protein in their diet?,Protein repairs and builds muscles.,Protein changes fat into energy.,Protein increases blood sugar.,Protein slows down digestion.,A,False
98,Why do ships float despite being heavy?,Their shape displaces enough water.,Water pressure keeps them up.,Air pushes from underneath.,The metal is lightweight.,A,False
99,Why is the moon sometimes visible during the day?,Its orbit allows sunlight to reflect toward Earth.,It appears closer in summer.,It glows from heat.,It absorbs morning light.,A,True
100,Why do eyes adjust in darkness over time?,Retina shrinks to focus better.,Eyes cool down slowly.,Eyelids block out extra light.,Pupils widen to take in more light.,D,False
101,Why do leaves have veins?,To transport water and nutrients.,To reflect sunlight evenly.,To support photosynthesis directly.,To release extra moisture.,A,False
102,Why do metals shine when polished?,Polishing removes all atoms.,They reflect light well due to free electrons.,They are naturally white.,They absorb less heat.,B,True
103,Why is the boiling point of water lower at high altitudes?,Heat moves faster in thin air.,Oxygen levels increase.,Wind cools the water.,Air pressure is reduced.,D,False
104,Why do we need to sleep regularly?,Sleep keeps muscles toned.,Sleep speeds up digestion.,Sleep restores mental and physical function.,Sleep removes toxins through sweat.,C,False
105,Why does rubbing hands together produce heat?,Friction converts motion into heat.,Motion increases circulation.,Blood rises to the surface.,Skin absorbs energy from the air.,A,False
106,Why is the ocean salty?,Minerals from rocks dissolve in water.,Air carries salt from beaches.,Sea plants generate sodium.,Fish release salt while swimming.,A,False
107,Why do scientists use models in experiments?,Models increase lab space.,Models make data look better.,Models replace actual tools.,Models help explain and test ideas.,D,False
108,Why is the speed of light constant in a vacuum?,The vacuum amplifies waves.,Sound follows the same rule.,It doesn’t interact with particles.,Light slows down over time.,C,False
109,Why do we add chlorine to drinking water?,To kill harmful microorganisms.,To increase oxygen.,To neutralize acidity.,To improve flavor.,A,False
110,Why does heat rise in a room?,Warm air is less dense.,Walls push heat upward.,Light attracts heat.,Cold air sinks faster.,A,False
111,Why does rain fall from clouds?,Cold air forces clouds to move.,Water droplets become heavy and fall.,Wind squeezes water from air.,Clouds bounce off air pressure.,B,False
112,Why do we use seatbelts in cars?,To prevent motion sickness.,To avoid engine noise.,To keep the car moving.,To reduce injury during sudden stops.,D,True
113,Why do turtles have hard shells?,To store water for travel.,For protection against predators.,To help them float.,To absorb sunlight quickly.,B,False
114,Why does cutting onions make your eyes sting?,The smell is too strong.,It releases sulfuric compounds.,The onion juice is spicy.,It cools the eyes rapidly.,B,False
115,Why does static electricity shock us sometimes?,Air becomes electrically charged.,Charge builds up and discharges suddenly.,Skin freezes and contracts.,Metal carries sound waves.,B,False
116,Why are earthquakes more common along fault lines?,Tectonic plates shift at those edges.,Ocean waves press inland.,Wind pressure cracks rocks.,Mountains block vibrations.,A,True
117,Why do birds have hollow bones?,To keep warm.,To protect organs.,To make flying easier.,To store air in bones.,C,False
118,Why do mirrors fog up in bathrooms?,Warm air hits a cold surface.,Soap sprays on the glass.,Light reflects more steam.,Water jumps off the floor.,A,False
119,Why do whales surface to breathe?,"They have lungs, not gills.",Their fins need sunlight.,Air pushes them upward.,They exhale underwater.,A,False
120,Why does metal feel hot in sunlight?,It expands into the air.,It holds onto wind.,Its color attracts fire.,It absorbs and conducts heat quickly.,D,True
121,Why do snakes shed their skin?,To become lighter for movement.,To allow for growth and remove parasites.,To develop new colors for camouflage.,To cool down in warm weather.,B,False
122,Why does paper burn when heated?,"Heat breaks chemical bonds, releasing energy.",Air thickens around it.,Paper attracts fire naturally.,The fibers shrink rapidly.,A,True
123,Why are car tires made of rubber?,Rubber provides grip and absorbs shock.,Rubber shines in sunlight.,Rubber increases car speed.,Rubber keeps wheels from bending.,A,False
124,Why is hand-eye coordination important in sports?,It builds finger strength.,It allows accurate and quick responses.,It slows muscle fatigue.,It helps improve night vision.,B,False
125,Why is the Earth's core hot?,Radioactive decay and residual heat.,It absorbs energy from the moon.,Magma reflects ground light.,The sun heats it internally.,A,False
126,Why are zebras' stripes helpful in the wild?,They confuse predators during movement.,They warm up the zebra.,They reflect moonlight better.,They help with swimming.,A,False
127,Why do our fingers wrinkle in water?,Skin loses moisture fast.,To improve grip on wet surfaces.,Fingers cool more quickly.,Water changes blood flow.,B,False
128,Why does alcohol feel cold when it evaporates?,It absorbs heat from the skin.,It reacts with oxygen.,It hardens quickly on contact.,It increases skin moisture.,A,False
129,Why are parachutes wide and light?,To bounce on landing.,To attract search teams.,To fly longer distances.,To slow descent by increasing air resistance.,D,True
130,Why is the tongue sensitive to taste?,It grows faster than other tissues.,It generates digestive acid.,It reflects food colors.,It has many taste receptor cells.,D,False
131,Why is backpropagation important in training neural networks?,It increases the number of inputs.,It skips hidden layers.,It stops training early.,It adjusts weights to reduce error.,D,False
132,Why is a router used in a computer network?,To forward data between different networks.,To power wireless devices.,To store backup data.,To format hard drives.,A,True
133,Why is normalization important in machine learning?,It removes all outliers.,It converts models into text.,It scales features to a common range.,It improves database speed.,C,False
134,Why is TCP considered reliable for data transmission?,It sends signals only once.,It encrypts files automatically.,It ensures packets are received in order.,It prevents congestion entirely.,C,False
135,Why is overfitting a problem in machine learning?,It improves training accuracy only.,The model memorizes training data but performs poorly on new data.,The model becomes too fast.,The data splits unevenly.,B,True
136,Why is DNS used in networking?,It blocks malware infections.,It filters email spam.,It translates domain names into IP addresses.,It charges users for access.,C,True
137,Why is GPU acceleration used in deep learning?,It normalizes input features.,It processes large matrix computations faster.,It stores the training logs.,It controls the learning rate.,B,True
138,Why is ReLU a common activation function?,It reduces the number of layers.,It filters input noise.,It introduces non-linearity and is simple to compute.,It replaces backpropagation.,C,True
139,Why is subnetting useful in network design?,It adds more IP addresses.,It divides large networks into manageable parts.,It speeds up wireless signals.,It encrypts local data.,B,True
140,Why do we use dropout in neural networks?,To prevent overfitting by randomly ignoring neurons.,To double the batch size.,To delete data during training.,To increase training accuracy instantly.,A,True
141,Why is data augmentation used in training image models?,It makes models faster by reducing images.,It replaces preprocessing steps.,It increases dataset diversity for better generalization.,It skips the need for test data.,C,True
142,Why are VLANs used in networking?,To segment networks logically for security and efficiency.,To encrypt all data transmissions.,To block wireless devices.,To increase the cable length.,A,True
143,Why does a decision tree risk overfitting?,It can learn noise from training data.,It uses too many features by default.,It always splits data equally.,It discards outliers aggressively.,A,False
144,Why is HTTPS more secure than HTTP?,It prevents ads from loading.,It encrypts data using SSL/TLS.,It blocks cookies entirely.,It compresses content better.,B,False
145,Why are container technologies like Docker popular?,They compile code automatically.,They limit code execution.,They increase bandwidth speed.,They isolate environments and simplify deployment.,D,True
146,Why is learning rate tuning important in model training?,It increases GPU memory.,It shortens the number of features.,It controls how quickly the model learns.,It decreases regularization.,C,False
147,Why is UDP preferred in streaming applications?,It offers low latency by not requiring acknowledgment.,It resends lost packets quickly.,It always guarantees delivery.,It encrypts data automatically.,A,True
148,Why is K-means not ideal for non-spherical data?,It trains with backpropagation.,It assumes clusters are round and equal in size.,It uses trees for classification.,It requires labeled data.,B,True
149,Why do firewalls improve network security?,They monitor and block unauthorized traffic.,They boost signal strength.,They extend wireless range.,They store user credentials.,A,True
150,Why is one-hot encoding used in preprocessing?,It removes missing values.,It converts categorical data into binary features.,It filters out high variance features.,It scales numbers between 0 and 1.,B,True
151,Why is cross-validation important in model evaluation?,It changes the training labels.,It combines all models into one.,It tunes hyperparameters automatically.,It assesses model performance on unseen data.,D,False
152,Why do switches use MAC addresses?,To create subnets in networks.,To encrypt transmitted packets.,To forward data to the correct device on a LAN.,To block spam emails.,C,True
153,Why is batch size an important parameter in deep learning?,It increases the depth of the network.,It controls how neurons are activated.,It affects training speed and model stability.,It selects the optimizer type.,C,False
154,Why do organizations use VPNs?,To increase data usage limits.,To compress audio files.,To secure remote connections over public networks.,To bypass operating system updates.,C,True
155,Why is gradient descent used in machine learning?,It normalizes output probabilities.,It minimizes the cost function by adjusting weights.,It balances the dataset features.,It multiplies loss with accuracy.,B,True
156,Why is NAT used in routers?,To store website data offline.,To test bandwidth speeds.,To connect two different ISPs.,To map private IP addresses to a public one.,D,True
157,Why is transfer learning beneficial in deep learning?,It trains a model with zero data.,It removes feature correlation.,It resets model weights automatically.,It allows reuse of pretrained models on new tasks.,D,True
158,Why is an IP address important in a network?,It uniquely identifies each device.,It limits internet access.,It stores login credentials.,It controls signal strength.,A,False
159,Why is feature engineering critical in data science?,It replaces model evaluation.,It increases the number of test cases.,It improves model performance by creating better input variables.,It reduces the size of the dataset.,C,True
160,Why are APIs essential in modern software development?,They encrypt data for browsers.,They speed up computer boot time.,They replace firewalls in applications.,They enable different systems to communicate.,D,False
161,Why do load balancers improve system reliability?,They reduce storage costs.,They distribute traffic across multiple servers.,They block malicious users.,They encrypt database entries.,B,True
162,Why is L2 regularization useful in model training?,It increases model complexity.,It discourages large weights to reduce overfitting.,It multiplies accuracy scores.,It forces weights to become zero.,B,True
163,Why do we use ARP in computer networks?,To monitor internet speed.,To assign dynamic IPs.,To resolve domain names.,To map IP addresses to MAC addresses.,D,True
164,Why is early stopping used during training?,To prevent overfitting by halting when validation loss increases.,To reset all model weights.,To decrease learning rate automatically.,To switch optimizers mid-training.,A,True
165,Why do systems use RAID for storage?,To improve data redundancy and performance.,To encrypt file systems.,To share files across browsers.,To cool hard drives.,A,True
166,Why are SSL certificates important for websites?,They enable encrypted communication with users.,They remove JavaScript errors.,They create backup copies.,They boost page load speed.,A,True
167,Why is tokenization important in NLP?,It creates summaries of documents.,It breaks text into meaningful units for processing.,It sorts words alphabetically.,It removes stopwords automatically.,B,True
168,Why is AI used in fraud detection?,It can identify unusual patterns in large datasets.,It stores audit logs.,It increases account balances.,It encrypts user credentials.,A,True
169,Why are CDNs used in web delivery?,To host server-side code.,To convert HTML to CSS.,To cache content closer to users for faster access.,To block malware downloads.,C,True
170,Why is F1-score important in imbalanced datasets?,It reduces memory usage.,It balances precision and recall.,It increases true negatives.,It measures only accuracy.,B,False
171,Why is data preprocessing essential in machine learning?,It reduces model memory usage.,It ensures data quality and consistency.,It converts accuracy into loss.,It creates neural network layers.,B,False
172,Why is SSH preferred over Telnet for remote login?,It uses more bandwidth.,It runs only on Windows systems.,It blocks all port access.,It encrypts communication for security.,D,False
173,Why is dimensionality reduction used in data science?,To increase data complexity.,To duplicate features.,To reduce noise and improve model efficiency.,To slow down predictions.,C,True
174,Why do we use hashing in cybersecurity?,To verify data integrity.,To create new usernames.,To block email attachments.,To measure password length.,A,False
175,Why is JSON commonly used for APIs?,It is lightweight and easy to parse.,It adds latency to requests.,It needs a database to run.,It encrypts data automatically.,A,False
176,Why is modular programming useful in software development?,It merges all logic into one file.,It removes all function calls.,It speeds up Wi-Fi connection.,"It breaks code into manageable, reusable parts.",D,True
177,Why is bias a problem in AI models?,It increases model size.,It causes unfair or inaccurate predictions.,It leads to zero loss.,It improves precision but reduces speed.,B,False
178,Why is cloud computing scalable?,It avoids user input completely.,It stores files in CSV format.,It uses physical servers only.,It adjusts resources based on demand.,D,False
179,Why is it useful to use indexes in a database?,They speed up query retrieval.,They sort columns alphabetically.,They delete duplicate records.,They reduce data accuracy.,A,False
180,Why is two-factor authentication safer than passwords alone?,It delays account creation.,It requires both something you know and something you have.,It hides the login screen.,It replaces firewalls.,B,True
181,Why is scaling input features important for gradient-based algorithms?,It combines features into one.,It skips feature selection.,It helps the algorithm converge faster.,It filters out noisy inputs.,C,False
182,Why do operating systems use virtual memory?,To increase screen resolution.,To reduce CPU power.,To secure user login sessions.,To use hard drive space when RAM is full.,D,True
183,Why is precision important in classification problems?,It increases the test set size.,It counts all errors equally.,It measures accuracy for positive predictions.,It helps sort the dataset.,C,True
184,Why are convolutional layers used in image processing?,They change brightness.,They capture spatial features in data.,They add color to grayscale images.,They split images into patches.,B,False
185,Why is logging important in software applications?,It compresses memory usage.,It increases file size.,It stores password data.,It helps monitor and debug issues.,D,False
186,Why do we split data into training and test sets?,To increase validation loss.,To evaluate how well the model generalizes.,To clean the dataset.,To reduce the training time.,B,True
187,Why is recursion used in programming?,It stores user preferences.,It simplifies problems by calling functions within themselves.,It speeds up database queries.,It reduces network load.,B,True
188,Why is latency critical in online gaming?,It stores saved progress.,It affects how quickly actions register.,It adjusts speaker volume.,It increases screen brightness.,B,False
189,Why do companies use version control systems?,To rename project folders.,To delete outdated software.,To store large media files.,To track and manage changes in code.,D,False
190,Why is it better to use environment variables for secrets?,They speed up code execution.,They prevent app deployment.,They keep sensitive data out of codebases.,They double memory access.,C,True
191,Why do cloud-native applications benefit from microservices?,They store logs in shared folders.,They disable version control.,They allow independent deployment and scaling.,They run only on one server.,C,True
192,Why is HTTPS preferred for e-commerce websites?,It supports only one browser type.,"It encrypts data, ensuring secure transactions.",It reduces webpage loading speed.,It compresses shopping cart size.,B,True
193,Why is feature selection used before training a model?,It adds noise to training data.,It sorts columns alphabetically.,It deletes all output labels.,It removes irrelevant inputs to improve accuracy.,D,True
194,Why are edge computing solutions gaining popularity?,They slow down client responses.,They reduce latency by processing data near the source.,They use centralized servers only.,They store backups in the cloud.,B,True
195,Why is a confusion matrix useful in classification problems?,It changes output labels.,It visualizes true/false positives and negatives.,It compresses feature sets.,It measures training time.,B,True
196,Why do DevOps teams use CI/CD pipelines?,They improve internet speed.,They delete code after deployment.,They increase server temperature.,They automate integration and delivery steps.,D,True
197,Why is anomaly detection important in cybersecurity?,It shuts down all systems.,It changes encryption keys.,It locks user accounts.,It identifies unusual patterns that may indicate threats.,D,True
198,Why do we need encryption in communication?,To improve keyboard accuracy.,To hide screen brightness.,To speed up file downloads.,To protect information from unauthorized access.,D,True
199,Why is the softmax function used in classification?,It adds training noise.,It converts outputs into probabilities.,It renames class labels.,It filters missing values.,B,True
200,Why is monitoring CPU usage critical in servers?,To rename operating systems.,To cool the hard disk.,To install graphic drivers.,To detect overload and maintain performance.,D,True
201,Why is a GPU better than a CPU for deep learning?,It lowers the model's size.,It stores more hard disk space.,It deletes test datasets.,It processes parallel tasks efficiently.,D,False
202,Why is regularization used in machine learning?,To sort variables alphabetically.,To reduce overfitting by penalizing complexity.,To clean missing data entries.,To duplicate hidden layers.,B,True
203,Why do developers use REST APIs?,They store data as audio files.,They encrypt HTTP headers.,They restart servers automatically.,They allow standardized access to web services.,D,True
204,Why is JSON favored over XML in APIs?,It replaces HTML in browsers.,It changes IP addresses.,It's lighter and easier to parse.,It supports images directly.,C,False
205,Why is recall important in a classification model?,It measures how many actual positives were identified.,It increases test set length.,It counts all true negatives.,It filters noisy outputs.,A,True
206,Why is container orchestration needed in cloud apps?,It encrypts Docker images.,It blocks internet traffic.,It manages deployment and scaling of containers.,It builds new operating systems.,C,True
207,Why is the Adam optimizer popular in deep learning?,It shortens training data.,It increases batch size.,It replaces backpropagation.,It adapts learning rates for each parameter.,D,True
