Question Number,Question,Option A,Option B,Option C,Option D,Correct Option,correct_ans_longest,llama_option_a,llama_option_b,llama_option_c,llama_option_d
152,Why do switches use MAC addresses?,To create subnets in networks.,To encrypt transmitted packets.,To forward data to the correct device on a LAN.,To block spam emails.,C,True,To route packets to the correct device on a LAN based on their destination IP addresses. (Instead of creating subnets),To identify and filter out malicious packets in the network. (Instead of encrypting transmitted packets),,To block unauthorized access to the network. (Instead of blocking spam emails)
154,Why do organizations use VPNs?,To increase data usage limits.,To compress audio files.,To secure remote connections over public networks.,To bypass operating system updates.,C,True,To protect sensitive data when using public Wi-Fi networks.,To encrypt email communications for increased privacy.,,To securely access company resources from home or on the go.
155,Why is gradient descent used in machine learning?,It normalizes output probabilities.,It minimizes the cost function by adjusting weights.,It balances the dataset features.,It multiplies loss with accuracy.,B,True,It helps prevent overfitting by shrinking the weights towards zero.,It iteratively adjusts the model's parameters to minimize the cost function.,,It maximizes the loss function instead of minimizing it.
156,Why is NAT used in routers?,To store website data offline.,To test bandwidth speeds.,To connect two different ISPs.,To map private IP addresses to a public one.,D,True,To test network connectivity.,To route traffic to different devices.,,To provide a layer of security by hiding internal IP addresses.
157,Why is transfer learning beneficial in deep learning?,It trains a model with zero data.,It removes feature correlation.,It resets model weights automatically.,It allows reuse of pretrained models on new tasks.,D,True,It allows for quicker training on new tasks with minimal additional data.,It helps to reduce overfitting by leveraging knowledge from pre-trained models.,,"It enables the use of pre-trained models as a starting point for new tasks, saving time and computational resources."
159,Why is feature engineering critical in data science?,It replaces model evaluation.,It increases the number of test cases.,It improves model performance by creating better input variables.,It reduces the size of the dataset.,C,True,It enhances model evaluation by providing more informative input variables.,It expands the scope of data analysis by introducing new features.,,It refines the dataset by selecting relevant variables.
161,Why do load balancers improve system reliability?,They reduce storage costs.,They distribute traffic across multiple servers.,They block malicious users.,They encrypt database entries.,B,True,They reduce network congestion and improve response times.,"They provide a single point of contact for clients, making it easier to manage traffic.",,"They enable automated failover and load switching, ensuring that no single server is overwhelmed."
162,Why is L2 regularization useful in model training?,It increases model complexity.,It discourages large weights to reduce overfitting.,It multiplies accuracy scores.,It forces weights to become zero.,B,True,It helps prevent underfitting by shrinking model weights towards zero.,"It discourages large weights to reduce overfitting, but not too much.",,"It encourages weights to be very small, which can lead to poor generalization."
163,Why do we use ARP in computer networks?,To monitor internet speed.,To assign dynamic IPs.,To resolve domain names.,To map IP addresses to MAC addresses.,D,True,To monitor network performance and troubleshoot connectivity issues.,To allocate static IP addresses to devices on a network.,,To map domain names to IP addresses for easy remembering.
164,Why is early stopping used during training?,To prevent overfitting by halting when validation loss increases.,To reset all model weights.,To decrease learning rate automatically.,To switch optimizers mid-training.,A,True,To prevent overfitting by halting when validation loss plateaus.,To reset some of the model's weights randomly.,,To switch optimizers after a predetermined number of epochs.
165,Why do systems use RAID for storage?,To improve data redundancy and performance.,To encrypt file systems.,To share files across browsers.,To cool hard drives.,A,True,"To improve data availability and fault tolerance, rather than redundancy.",To provide a secure and efficient way to store large amounts of data.,,To prevent hard drive failures and ensure data integrity.
166,Why are SSL certificates important for websites?,They enable encrypted communication with users.,They remove JavaScript errors.,They create backup copies.,They boost page load speed.,A,True,"They provide a layer of security for sensitive information such as passwords and credit card numbers, ensuring that only authorized parties can access them.",They help to prevent man-in-the-middle attacks by verifying the identity of the website owner and ensuring that the connection is secure.,,"They add an extra layer of protection against cyber threats, such as hacking and eavesdropping, to keep user data safe."
167,Why is tokenization important in NLP?,It creates summaries of documents.,It breaks text into meaningful units for processing.,It sorts words alphabetically.,It removes stopwords automatically.,B,True,It breaks text into manageable chunks for analysis.,It categorizes words based on their relevance to the topic.,,It automatically removes irrelevant information.
168,Why is AI used in fraud detection?,It can identify unusual patterns in large datasets.,It stores audit logs.,It increases account balances.,It encrypts user credentials.,A,True,"It can identify unusual patterns in large datasets, such as suspicious transactions or activity that may indicate fraudulent behavior.","It stores audit logs, providing a record of all actions taken within the system, which can be useful in detecting and investigating potential fraud.",,"It encrypts user credentials, ensuring that sensitive information is protected from unauthorized access and preventing fraudulent activity."
169,Why are CDNs used in web delivery?,To host server-side code.,To convert HTML to CSS.,To cache content closer to users for faster access.,To block malware downloads.,C,True,To improve website performance by caching static assets closer to users.,To compress and optimize website content for faster loading times.,,To protect websites from unauthorized access and ensure secure content delivery.
173,Why is dimensionality reduction used in data science?,To increase data complexity.,To duplicate features.,To reduce noise and improve model efficiency.,To slow down predictions.,C,True,To add more variables to the model.,To inflate feature importance.,,To intentionally bias the model.
176,Why is modular programming useful in software development?,It merges all logic into one file.,It removes all function calls.,It speeds up Wi-Fi connection.,"It breaks code into manageable, reusable parts.",D,True,"It helps reduce code duplication and improves code maintainability by breaking logic into smaller, independent parts. (Revised to be similar in length and tone to the correct answer)",It allows for more efficient code organization and reduces the risk of code sprawl. (Revised to be similar in length and tone to the correct answer),,"It enables developers to work on different modules independently, making it easier to debug and maintain the codebase. (Revised to be similar in length and tone to the correct answer)"
180,Why is two-factor authentication safer than passwords alone?,It delays account creation.,It requires both something you know and something you have.,It hides the login screen.,It replaces firewalls.,B,True,"It adds an extra layer of security by requiring a second form of verification, such as a fingerprint or a one-time code sent to your phone.",It requires both something you know (your password) and something you have (your phone or smartcard) to access your account.,,It enhances account security by making it more difficult for hackers to gain unauthorized access.
182,Why do operating systems use virtual memory?,To increase screen resolution.,To reduce CPU power.,To secure user login sessions.,To use hard drive space when RAM is full.,D,True,To improve system performance by reducing the amount of data that needs to be stored in RAM.,"To provide a way to temporarily store data that is not currently being used, freeing up space in RAM for other tasks.",,To allow the operating system to use hard drive space more efficiently when RAM is full.
183,Why is precision important in classification problems?,It increases the test set size.,It counts all errors equally.,It measures accuracy for positive predictions.,It helps sort the dataset.,C,True,Precision helps to reduce the test set size by eliminating irrelevant examples.,"Precision treats all errors differently, focusing on false positives.",Precision measures accuracy for positive predictions.,"Precision is used to rank the dataset, not measure accuracy."
186,Why do we split data into training and test sets?,To increase validation loss.,To evaluate how well the model generalizes.,To clean the dataset.,To reduce the training time.,B,True,To evaluate the model's performance on a separate set of data.,"To determine how well the model adapts to new, unseen data.",,To speed up the training process by using a smaller dataset.
187,Why is recursion used in programming?,It stores user preferences.,It simplifies problems by calling functions within themselves.,It speeds up database queries.,It reduces network load.,B,True,"It helps to break down complex problems into smaller, more manageable pieces.",It allows for more efficient use of memory and resources.,,It enables the creation of more intuitive and easy-to-understand code.
190,Why is it better to use environment variables for secrets?,They speed up code execution.,They prevent app deployment.,They keep sensitive data out of codebases.,They double memory access.,C,True,They help protect sensitive data from accidental exposure.,They prevent app deployment due to security concerns.,,"They slow down code execution, ensuring secure handling of secrets."
191,Why do cloud-native applications benefit from microservices?,They store logs in shared folders.,They disable version control.,They allow independent deployment and scaling.,They run only on one server.,C,True,They use a monolithic architecture that is difficult to maintain and scale.,"They rely on a single, centralized database that can become a bottleneck.",,They require all components to be running on the same server for proper functioning.
192,Why is HTTPS preferred for e-commerce websites?,It supports only one browser type.,"It encrypts data, ensuring secure transactions.",It reduces webpage loading speed.,It compresses shopping cart size.,B,True,It supports only one browser type. <revised to> A. It only supports a specific browser version.,"It encrypts data, ensuring secure transactions. <unchanged>",,It compresses shopping cart size. <revised to> D. It reduces the number of items in the shopping cart.
193,Why is feature selection used before training a model?,It adds noise to training data.,It sorts columns alphabetically.,It deletes all output labels.,It removes irrelevant inputs to improve accuracy.,D,True,It randomly shuffles training data to avoid overfitting.,It replaces some features with random values to increase diversity.,,It removes redundant inputs to prevent confusion.
194,Why are edge computing solutions gaining popularity?,They slow down client responses.,They reduce latency by processing data near the source.,They use centralized servers only.,They store backups in the cloud.,B,True,They increase network latency by processing data remotely.,They limit scalability by requiring more powerful servers.,,They rely on a centralized management platform.
195,Why is a confusion matrix useful in classification problems?,It changes output labels.,It visualizes true/false positives and negatives.,It compresses feature sets.,It measures training time.,B,True,It visualizes true/false positives and negatives (instead of changing output labels),It compresses feature sets (instead of visualizing true/false positives and negatives),,It measures model performance (instead of training time)
196,Why do DevOps teams use CI/CD pipelines?,They improve internet speed.,They delete code after deployment.,They increase server temperature.,They automate integration and delivery steps.,D,True,They improve software quality by adding more bugs.,They delete code after deployment to make room for new features.,,They automate integration and delivery steps to ensure manual errors are introduced.
197,Why is anomaly detection important in cybersecurity?,It shuts down all systems.,It changes encryption keys.,It locks user accounts.,It identifies unusual patterns that may indicate threats.,D,True,It deletes all files on the system.,It corrupts software installations.,,It modifies user permissions.
198,Why do we need encryption in communication?,To improve keyboard accuracy.,To hide screen brightness.,To speed up file downloads.,To protect information from unauthorized access.,D,True,To improve typing speed.,To enhance screen visibility.,,To secure data transfer.
199,Why is the softmax function used in classification?,It adds training noise.,It converts outputs into probabilities.,It renames class labels.,It filters missing values.,B,True,It helps with feature selection.,It provides a smooth probability distribution.,,It improves model interpretability.
200,Why is monitoring CPU usage critical in servers?,To rename operating systems.,To cool the hard disk.,To install graphic drivers.,To detect overload and maintain performance.,D,True,To prevent hardware failures caused by overheating.,To maintain optimal disk space usage.,,To detect and resolve software conflicts.
202,Why is regularization used in machine learning?,To sort variables alphabetically.,To reduce overfitting by penalizing complexity.,To clean missing data entries.,To duplicate hidden layers.,B,True,To reduce overfitting by adding noise to the data.,To improve the performance of the model by penalizing simplicity.,,To create additional hidden layers for better generalization.
203,Why do developers use REST APIs?,They store data as audio files.,They encrypt HTTP headers.,They restart servers automatically.,They allow standardized access to web services.,D,True,They provide a convenient way to retrieve data from databases. (Revised to be similar in length and tone to the correct answer.),They offer a simple method for updating server-side data. (Revised to be similar in length and tone to the correct answer.),,They allow for easy access to web services using standard HTTP methods. (Revised to be similar in length and tone to the correct answer.)
205,Why is recall important in a classification model?,It measures how many actual positives were identified.,It increases test set length.,It counts all true negatives.,It filters noisy outputs.,A,True,It measures how many actual positives were identified.,"It increases the number of training examples. (Revised to make it similar in tone to the correct answer, but not correct.)",,"It removes irrelevant inputs. (Revised to make it similar in tone to the correct answer, but not correct.)"
206,Why is container orchestration needed in cloud apps?,It encrypts Docker images.,It blocks internet traffic.,It manages deployment and scaling of containers.,It builds new operating systems.,C,True,It automates the process of deploying and managing containerized applications.,It ensures that containers are running on a secure and optimized infrastructure.,,It provides a centralized platform for managing containerized applications across multiple cloud providers.
207,Why is the Adam optimizer popular in deep learning?,It shortens training data.,It increases batch size.,It replaces backpropagation.,It adapts learning rates for each parameter.,D,True,It improves model interpretability by visualizing the training data.,It enhances regularization by adding noise to the model's weights.,,It dynamically adjusts the learning rate based on the model's performance.
208,Why is IPv6 adoption important?,It provides more address space than IPv4.,It disables DNS lookups.,It uses longer domain names.,It runs only on fiber networks.,A,True,"It provides more address space than IPv4, allowing for a virtually unlimited number of devices to connect to the internet.","It does not require DNS lookups, making it faster and more efficient.",,"It can run on any type of network, including wireless and satellite connections."
209,Why is Git used in software development?,It stores only video files.,It compiles the codebase.,It tracks changes and supports collaboration.,It scans for malware.,C,True,It stores only text documents.,It compiles the codebase into machine language.,,It detects and resolves syntax errors.
210,Why is synthetic data used in AI training?,It skips data preprocessing.,It prevents model training.,It lowers GPU usage.,It supplements real data when limited.,D,True,It speeds up data preprocessing.,It simplifies model training.,,It supplements real data when limited.
211,Why is transfer learning used in AI?,It reuses knowledge from existing models.,It reduces server temperature.,It stores new datasets locally.,It skips the training process.,A,True,,"It helps to reduce the amount of data that needs to be processed, which can lead to faster training times and improved model performance. (Instead of reducing server temperature)",,"It allows for more efficient use of computational resources, as the model can leverage pre-trained weights and fine-tune only the most relevant features. (Instead of skipping the training process)"
213,Why is anomaly detection used in monitoring systems?,It delays alerts by design.,It labels training data.,It converts logs to images.,It flags events that deviate from norms.,D,True,"Anomaly detection is used in monitoring systems to identify patterns that are significantly different from what is expected, so that appropriate action can be taken to address any issues that may arise. (Revised to make it similar in length and tone to the correct answer)","Anomaly detection is utilized in monitoring systems to detect and flag unusual behavior or events that deviate from the norm, allowing for prompt investigation and resolution of potential problems. (Revised to make it similar in length and tone to the correct answer)",,"Anomaly detection is implemented in monitoring systems to identify and highlight unusual occurrences or patterns that are not part of the expected norm, enabling quick action to be taken to address any issues that may arise. (Revised to make it similar in length and tone to the correct answer)"
215,Why is dropout used during training?,It prevents overfitting by turning off neurons.,It adds noise to output.,It resets batch size.,It adjusts learning rate.,A,True,"It prevents overfitting by randomly shutting down neurons, allowing the model to learn more robust features.","It adds random noise to the output, helping the model generalize better to unseen data.",,It adjusts the learning rate to prevent the model from getting too confident in its predictions.
221,Why is HTTPS considered secure for data transfer?,It reduces file size.,It blocks image loading.,It hides the URL path.,It encrypts the communication channel.,D,True,It compresses the data to reduce file size.,It filters out unnecessary content to block image loading.,,It scrambles the communication channel to hide the URL path.
224,Why is accuracy alone misleading in imbalanced data?,It changes the loss function.,It ignores the minority class performance.,It removes class labels.,It lowers model complexity.,B,True,It neglects the underlying class distribution shift.,It overlooks the bias towards the majority class.,,It simplifies the model architecture.
225,Why do we compress files before transmission?,To change file format.,To reduce the size for faster transfer.,To secure the content.,To rename the extension.,B,True,To reduce the size for faster storage.,To decrease the amount of data to transmit.,,To change the file name.
226,Why is latency important in real-time systems?,It controls display resolution.,It changes hardware speed.,It encrypts voice data.,It impacts how quickly responses are received.,D,True,It affects the refresh rate of the display.,It changes the number of CPU cores used.,,It impacts how quickly data is transferred over the network.
229,Why is MFA considered a best practice?,It renames login fields.,It hides password length.,It disables device syncing.,It reduces risk with multiple verification steps.,D,True,It obscures login credentials for added security.,It masks password length for a more streamlined experience.,,It integrates multi-factor authentication for enhanced protection.
230,Why are backups essential in IT systems?,They restore data after loss or failure.,They reduce CPU usage.,They double hard drive space.,They convert files to apps.,A,True,They prevent data loss due to hardware failure or user error. (Original answer: They restore data after loss or failure.),They help maintain optimal system performance by freeing up storage space. (Original answer: They reduce CPU usage.),,They provide an additional layer of security against malware and ransomware attacks. (Original answer: They convert files to apps.)
191,Why do cloud-native applications benefit from microservices?,They allow independent deployment and scaling.,They disable version control.,They run only on one server.,They store logs in shared folders.,A,True,"They provide greater flexibility and scalability, allowing developers to update or replace individual components without affecting the entire application.","They enable more efficient use of resources, as each microservice can be optimized for a specific function or task.",,"They allow for more resilient and fault-tolerant systems, as a failure in one microservice does not bring down the entire application."
192,Why is HTTPS preferred for e-commerce websites?,"It encrypts data, ensuring secure transactions.",It supports only one browser type.,It compresses shopping cart size.,It reduces webpage loading speed.,A,True,"It encrypts data, ensuring secure transactions.","<revised> It provides a secure connection for sensitive information, such as passwords and credit card numbers.",,<revised> It helps protect against man-in-the-middle attacks and ensures the authenticity of the website.
193,Why is feature selection used before training a model?,It adds noise to training data.,It deletes all output labels.,It removes irrelevant inputs to improve accuracy.,It sorts columns alphabetically.,C,True,It randomly shuffles the training data to avoid overfitting.,It replaces some features with dummy variables to create a balanced dataset.,,It renames all columns to make them more readable.
194,Why are edge computing solutions gaining popularity?,They use centralized servers only.,They reduce latency by processing data near the source.,They store backups in the cloud.,They slow down client responses.,B,True,They provide a centralized management platform for all edge devices.,They allow for real-time data processing and analysis at the edge of the network.,,"They enable secure, remote access to edge devices."
195,Why is a confusion matrix useful in classification problems?,It visualizes true/false positives and negatives.,It changes output labels.,It compresses feature sets.,It measures training time.,A,True,It visualizes true/false positives and negatives.,It adjusts prediction confidence levels.,It compresses feature sets.,It assesses model performance based on precision.
196,Why do DevOps teams use CI/CD pipelines?,They delete code after deployment.,They improve internet speed.,They automate integration and delivery steps.,They increase server temperature.,C,True,They automate code review and testing steps.,They improve application performance and security.,,They simplify software deployment and management.
197,Why is anomaly detection important in cybersecurity?,It locks user accounts.,It changes encryption keys.,It identifies unusual patterns that may indicate threats.,It shuts down all systems.,C,True,It detects and alerts on suspicious activity to prevent data breaches.,It enforces strict access controls to limit the spread of malware.,It identifies unusual patterns that may indicate threats.,It auto-isolates infected devices to prevent network contamination.
198,Why do we need encryption in communication?,To speed up file downloads.,To hide screen brightness.,To improve keyboard accuracy.,To protect information from unauthorized access.,D,True,To protect personal information from prying eyes while downloading files online.,To keep passwords and sensitive data secure when accessing public Wi-Fi networks.,,To prevent hackers from intercepting important messages and stealing valuable data.
199,Why is the softmax function used in classification?,It renames class labels.,It filters missing values.,It adds training noise.,It converts outputs into probabilities.,D,True,It normalizes class labels.,It transforms missing values into a probability distribution.,,It maps outputs to a probability space.
200,Why is monitoring CPU usage critical in servers?,To detect overload and maintain performance.,To rename operating systems.,To cool the hard disk.,To install graphic drivers.,A,True,To maintain optimal performance and prevent overload.,To ensure efficient use of system resources.,,To protect against hardware failure and degrade gracefully.
202,Why is regularization used in machine learning?,To duplicate hidden layers.,To clean missing data entries.,To sort variables alphabetically.,To reduce overfitting by penalizing complexity.,D,True,To prevent underfitting by adding noise to the model.,To improve data interpretation by highlighting important features.,,To ensure that the model is interpretable and explainable.
