Question Number,Question,Option A,Option B,Option C,Option D,Correct Option
43,Why does iron rust when exposed to water and air?,Oxygen reacts with metal.,Water freezes on the surface.,Rust is formed by bacteria.,Iron breaks into dust.,A
44,Why do tides occur on Earth?,Moon's gravity pulls water.,Earth's spin generates suction.,Winds push water in circles.,Sunlight heats oceans daily.,A
45,Why does water form droplets on a surface?,Surface tension pulls molecules together.,Water cools rapidly on contact.,Air pressure is stronger outdoors.,Water sticks to smooth textures.,A
46,Why is recycling important for the environment?,It reduces waste and conserves resources.,It makes trash easier to burn.,It increases factory production.,It prevents heat from escaping Earth.,A
47,Why is it dangerous to touch electrical wires with wet hands?,Water conducts electricity.,Wires expand when wet.,Hands attract static charges.,Wet skin repels voltage.,A
48,Why do we see lightning before hearing thunder?,Light travels faster than sound.,Sound is absorbed by clouds.,Thunder comes from ground echoes.,Lightning doesn't create sound.,A
49,Why does a black shirt feel hotter in sunlight?,Dark colors absorb more heat.,Sunlight passes through black dye.,Black reflects hot air.,Heat is drawn to dark textures.,A
50,Why do icebergs float in the ocean?,Ice is less dense than seawater.,Air bubbles lift them up.,Salt pushes them upward.,Cold water increases lift.,A
51,Why does sugar dissolve faster in hot water than cold?,Heat speeds up molecule movement.,Sugar softens in heat.,Water expands sugar crystals.,Cold water repels sugar.,A
52,Why do we wear sunglasses on sunny days?,To block harmful UV rays.,To adjust our internal clock.,To magnify the sunlight.,To trap heat near the face.,A
53,Why is it easier to float in saltwater than freshwater?,Saltwater is denser and adds buoyancy.,Freshwater cools the skin faster.,Salt reduces gravity in water.,Saltwater vibrates slower.,A
54,Why do we need red blood cells?,They carry oxygen to tissues.,They help digest protein.,They absorb sunlight.,They protect bones from damage.,A
55,Why do some animals hibernate?,To conserve energy in winter.,To protect nests from water.,To increase their metabolism.,To migrate underground.,A
56,Why are electric cars considered eco-friendly?,They produce no direct emissions.,They use thinner tires.,They run only during the day.,They never need brakes.,A
57,Why is handwashing effective at stopping disease?,It removes germs and viruses.,It warms the skin.,It spreads good bacteria.,It dries hands quickly.,A
58,Why do we blink automatically?,To protect and moisten eyes.,To reflect brain signals.,To control face temperature.,To limit eye movement.,A
59,Why is sunlight important for plants?,It helps them produce food.,It makes roots grow deeper.,It prevents leaf color change.,It hardens the stem.,A
60,Why are batteries used in portable devices?,They store and release electrical energy.,They emit heat for small circuits.,They change sound into movement.,They cool down fast in use.,A
61,Why do fish have gills instead of lungs?,Gills extract oxygen from water.,Lungs are too large for fish.,Gills store energy for movement.,Lungs would float in water.,A
62,Why is iron used to make tools?,It is strong and durable.,It bends easily under pressure.,It rusts quickly in air.,It floats when cooled.,A
63,Why do we boil water before drinking it?,To kill bacteria and viruses.,To make it lighter.,To reduce oxygen content.,To add minerals.,A
64,Why is a rainbow curved?,Light bends and reflects in water droplets.,Clouds push colors into arcs.,Rain falls in circular motion.,Wind shapes the sunlight.,A
65,Why do we yawn when tired?,To increase oxygen to the brain.,To lower heart rate.,To block out noise.,To warm the throat.,A
66,Why is stainless steel used in kitchens?,It resists rust and is easy to clean.,It absorbs heat very slowly.,It sharpens over time.,It changes color with light.,A
67,Why does a compass point north?,It aligns with Earth’s magnetic field.,It is pulled by the sun.,It tracks ocean currents.,It detects sound waves.,A
68,Why is teamwork important in group projects?,It allows shared ideas and efforts.,It reduces the need to plan.,It guarantees fewer errors.,It limits personal accountability.,A
69,Why do seeds need water to germinate?,Water activates growth enzymes.,Water keeps seeds dry.,Water breaks down carbon dioxide.,Water hardens the outer shell.,A
70,Why do we wear helmets while biking?,To protect the head from injury.,To block sunlight from the eyes.,To reduce wind resistance.,To balance body posture.,A
71,Why do satellites stay in orbit around Earth?,Gravity and forward motion balance out.,Earth's wind holds them up.,Solar power keeps them floating.,They bounce off the atmosphere.,A
72,Why does metal expand when heated?,Atoms move more and take up space.,Heat adds weight to metal.,Metal absorbs sunlight fully.,Cold air escapes from it.,A
73,Why are dams built on rivers?,To control water flow and store it.,To increase fish population.,To heat nearby land.,To raise ocean levels.,A
74,Why is it easier to hear at night in open areas?,Cooler air carries sound farther.,Stars reflect noise downward.,Daylight breaks up sound waves.,Trees push sound lower.,A
75,Why do we see stars only at night?,Sunlight outshines distant stars.,Stars only appear in darkness.,Air glows less after sunset.,Stars move toward night skies.,A
76,Why is touch important for humans?,It helps detect pressure and temperature.,It keeps bones flexible.,It directs muscle growth.,It spreads body heat.,A
77,Why is glass transparent?,Light passes through its uniform structure.,It lacks a reflective surface.,It traps only red light.,Its molecules are cold.,A
78,Why does soap clean oily hands?,Soap breaks oil into smaller bits.,It freezes the oil.,Soap burns oil off quickly.,It dries oil with air.,A
79,Why do onions make people cry?,They release a gas that irritates eyes.,Their color is too bright.,They cool the face rapidly.,Their texture is sharp.,A
80,Why does hot air rise?,Warm air is lighter than cool air.,Heat pushes air downward.,Light heats air molecules.,Cold sinks and pulls up heat.,A
81,Why do we stretch before exercising?,To reduce injury and improve flexibility.,To slow down heart rate.,To increase body temperature.,To build muscle mass.,A
82,Why does fog form in the early morning?,Cool air condenses moisture near the ground.,Trees release vapor at night.,Sunlight pulls water from soil.,Wind spreads sea spray inland.,A
83,Why is blood red?,Hemoglobin binds with oxygen.,It reflects red light from veins.,Carbon dioxide colors the cells.,Blood heats up during flow.,A
84,Why are bridges built in arches?,Arches distribute weight evenly.,Arches trap cold air below.,Curves reduce construction time.,They avoid bird interference.,A
85,Why do our pupils get larger in the dark?,To let in more light.,To reflect surrounding color.,To increase blood flow.,To cool the eye.,A
86,Why do birds fly in V formation?,It saves energy through air currents.,It helps spot predators.,It avoids flying into wind.,It lets them fly faster.,A
87,Why is exercise good for the heart?,It strengthens heart muscles.,It cools blood in veins.,It thickens artery walls.,It slows oxygen flow.,A
88,Why do mirrors reflect light?,Their surface bounces light back.,They absorb and release brightness.,They heat up quickly.,They repel darkness.,A
89,Why is iron important in the diet?,It helps carry oxygen in blood.,It keeps bones hard.,It helps digest fat.,It lowers body heat.,A
90,Why does a ball roll down a slope?,Gravity pulls it downhill.,Wind pushes it forward.,The air gets thinner.,Friction increases uphill.,A
91,Why is photosynthesis important for the environment?,It produces oxygen and absorbs carbon dioxide.,It cools plant leaves.,It colors fruits and flowers.,It keeps soil moist.,A
92,Why do camels store fat in their humps?,For energy during long periods without food.,To balance their body weight.,To store water directly.,To protect them from sunburn.,A
93,Why is the heart divided into four chambers?,To separate oxygenated and deoxygenated blood.,To slow down the heartbeat.,To cool blood evenly.,To remove carbon dioxide directly.,A
94,Why do astronauts experience muscle loss in space?,Lack of gravity reduces muscle use.,They eat fewer proteins.,Their suits are too tight.,They sleep longer in orbit.,A
95,Why does bread turn brown when toasted?,Heat causes a chemical reaction with sugars.,The crust absorbs moisture.,Air reacts with flour.,Steam turns it darker.,A
96,Why do ants follow each other in a line?,They follow scent trails.,They avoid being seen.,They mimic enemy movements.,They look for warmer spots.,A
97,Why do athletes need protein in their diet?,Protein repairs and builds muscles.,Protein slows down digestion.,Protein increases blood sugar.,Protein changes fat into energy.,A
98,Why do ships float despite being heavy?,Their shape displaces enough water.,Water pressure keeps them up.,The metal is lightweight.,Air pushes from underneath.,A
99,Why is the moon sometimes visible during the day?,Its orbit allows sunlight to reflect toward Earth.,It glows from heat.,It absorbs morning light.,It appears closer in summer.,A
100,Why do eyes adjust in darkness over time?,Pupils widen to take in more light.,Eyelids block out extra light.,Eyes cool down slowly.,Retina shrinks to focus better.,A
101,Why do leaves have veins?,To transport water and nutrients.,To support photosynthesis directly.,To reflect sunlight evenly.,To release extra moisture.,A
102,Why do metals shine when polished?,They reflect light well due to free electrons.,They absorb less heat.,They are naturally white.,Polishing removes all atoms.,A
103,Why is the boiling point of water lower at high altitudes?,Air pressure is reduced.,Oxygen levels increase.,Wind cools the water.,Heat moves faster in thin air.,A
104,Why do we need to sleep regularly?,Sleep restores mental and physical function.,Sleep keeps muscles toned.,Sleep removes toxins through sweat.,Sleep speeds up digestion.,A
105,Why does rubbing hands together produce heat?,Friction converts motion into heat.,Skin absorbs energy from the air.,Motion increases circulation.,Blood rises to the surface.,A
106,Why is the ocean salty?,Minerals from rocks dissolve in water.,Fish release salt while swimming.,Air carries salt from beaches.,Sea plants generate sodium.,A
107,Why do scientists use models in experiments?,Models help explain and test ideas.,Models make data look better.,Models replace actual tools.,Models increase lab space.,A
108,Why is the speed of light constant in a vacuum?,It doesn’t interact with particles.,The vacuum amplifies waves.,Light slows down over time.,Sound follows the same rule.,A
109,Why do we add chlorine to drinking water?,To kill harmful microorganisms.,To improve flavor.,To increase oxygen.,To neutralize acidity.,A
110,Why does heat rise in a room?,Warm air is less dense.,Walls push heat upward.,Light attracts heat.,Cold air sinks faster.,A
111,Why does rain fall from clouds?,Water droplets become heavy and fall.,Clouds bounce off air pressure.,Wind squeezes water from air.,Cold air forces clouds to move.,A
112,Why do we use seatbelts in cars?,To reduce injury during sudden stops.,To keep the car moving.,To prevent motion sickness.,To avoid engine noise.,A
113,Why do turtles have hard shells?,For protection against predators.,To help them float.,To store water for travel.,To absorb sunlight quickly.,A
114,Why does cutting onions make your eyes sting?,It releases sulfuric compounds.,The onion juice is spicy.,The smell is too strong.,It cools the eyes rapidly.,A
115,Why does static electricity shock us sometimes?,Charge builds up and discharges suddenly.,Air becomes electrically charged.,Metal carries sound waves.,Skin freezes and contracts.,A
116,Why are earthquakes more common along fault lines?,Tectonic plates shift at those edges.,Mountains block vibrations.,Ocean waves press inland.,Wind pressure cracks rocks.,A
117,Why do birds have hollow bones?,To make flying easier.,To protect organs.,To store air in bones.,To keep warm.,A
118,Why do mirrors fog up in bathrooms?,Warm air hits a cold surface.,Water jumps off the floor.,Soap sprays on the glass.,Light reflects more steam.,A
119,Why do whales surface to breathe?,"They have lungs, not gills.",Their fins need sunlight.,They exhale underwater.,Air pushes them upward.,A
120,Why does metal feel hot in sunlight?,It absorbs and conducts heat quickly.,Its color attracts fire.,It expands into the air.,It holds onto wind.,A
121,Why do snakes shed their skin?,To allow for growth and remove parasites.,To become lighter for movement.,To cool down in warm weather.,To develop new colors for camouflage.,A
122,Why does paper burn when heated?,"Heat breaks chemical bonds, releasing energy.",The fibers shrink rapidly.,Air thickens around it.,Paper attracts fire naturally.,A
123,Why are car tires made of rubber?,Rubber provides grip and absorbs shock.,Rubber increases car speed.,Rubber shines in sunlight.,Rubber keeps wheels from bending.,A
124,Why is hand-eye coordination important in sports?,It allows accurate and quick responses.,It helps improve night vision.,It slows muscle fatigue.,It builds finger strength.,A
125,Why is the Earth's core hot?,Radioactive decay and residual heat.,The sun heats it internally.,It absorbs energy from the moon.,Magma reflects ground light.,A
126,Why are zebras' stripes helpful in the wild?,They confuse predators during movement.,They warm up the zebra.,They reflect moonlight better.,They help with swimming.,A
127,Why do our fingers wrinkle in water?,To improve grip on wet surfaces.,Skin loses moisture fast.,Water changes blood flow.,Fingers cool more quickly.,A
128,Why does alcohol feel cold when it evaporates?,It absorbs heat from the skin.,It increases skin moisture.,It hardens quickly on contact.,It reacts with oxygen.,A
129,Why are parachutes wide and light?,To slow descent by increasing air resistance.,To fly longer distances.,To attract search teams.,To bounce on landing.,A
130,Why is the tongue sensitive to taste?,It has many taste receptor cells.,It grows faster than other tissues.,It reflects food colors.,It generates digestive acid.,A
131,Why is backpropagation important in training neural networks?,It adjusts weights to reduce error.,It skips hidden layers.,It increases the number of inputs.,It stops training early.,A
132,Why is a router used in a computer network?,To forward data between different networks.,To store backup data.,To format hard drives.,To power wireless devices.,A
133,Why is normalization important in machine learning?,It scales features to a common range.,It removes all outliers.,It improves database speed.,It converts models into text.,A
134,Why is TCP considered reliable for data transmission?,It ensures packets are received in order.,It sends signals only once.,It encrypts files automatically.,It prevents congestion entirely.,A
135,Why is overfitting a problem in machine learning?,The model memorizes training data but performs poorly on new data.,The model becomes too fast.,The data splits unevenly.,It improves training accuracy only.,A
136,Why is DNS used in networking?,It translates domain names into IP addresses.,It filters email spam.,It charges users for access.,It blocks malware infections.,A
137,Why is GPU acceleration used in deep learning?,It processes large matrix computations faster.,It stores the training logs.,It controls the learning rate.,It normalizes input features.,A
138,Why is ReLU a common activation function?,It introduces non-linearity and is simple to compute.,It reduces the number of layers.,It filters input noise.,It replaces backpropagation.,A
139,Why is subnetting useful in network design?,It divides large networks into manageable parts.,It speeds up wireless signals.,It encrypts local data.,It adds more IP addresses.,A
140,Why do we use dropout in neural networks?,To prevent overfitting by randomly ignoring neurons.,To delete data during training.,To increase training accuracy instantly.,To double the batch size.,A
141,Why is data augmentation used in training image models?,It increases dataset diversity for better generalization.,It makes models faster by reducing images.,It replaces preprocessing steps.,It skips the need for test data.,A
142,Why are VLANs used in networking?,To segment networks logically for security and efficiency.,To increase the cable length.,To block wireless devices.,To encrypt all data transmissions.,A
143,Why does a decision tree risk overfitting?,It can learn noise from training data.,It uses too many features by default.,It always splits data equally.,It discards outliers aggressively.,A
144,Why is HTTPS more secure than HTTP?,It encrypts data using SSL/TLS.,It compresses content better.,It prevents ads from loading.,It blocks cookies entirely.,A
145,Why are container technologies like Docker popular?,They isolate environments and simplify deployment.,They increase bandwidth speed.,They limit code execution.,They compile code automatically.,A
146,Why is learning rate tuning important in model training?,It controls how quickly the model learns.,It shortens the number of features.,It increases GPU memory.,It decreases regularization.,A
147,Why is UDP preferred in streaming applications?,It offers low latency by not requiring acknowledgment.,It encrypts data automatically.,It always guarantees delivery.,It resends lost packets quickly.,A
148,Why is K-means not ideal for non-spherical data?,It assumes clusters are round and equal in size.,It requires labeled data.,It uses trees for classification.,It trains with backpropagation.,A
149,Why do firewalls improve network security?,They monitor and block unauthorized traffic.,They extend wireless range.,They boost signal strength.,They store user credentials.,A
150,Why is one-hot encoding used in preprocessing?,It converts categorical data into binary features.,It scales numbers between 0 and 1.,It removes missing values.,It filters out high variance features.,A
151,Why is cross-validation important in model evaluation?,It assesses model performance on unseen data.,It combines all models into one.,It changes the training labels.,It tunes hyperparameters automatically.,A
152,Why do switches use MAC addresses?,To forward data to the correct device on a LAN.,To create subnets in networks.,To encrypt transmitted packets.,To block spam emails.,A
153,Why is batch size an important parameter in deep learning?,It affects training speed and model stability.,It controls how neurons are activated.,It increases the depth of the network.,It selects the optimizer type.,A
154,Why do organizations use VPNs?,To secure remote connections over public networks.,To increase data usage limits.,To compress audio files.,To bypass operating system updates.,A
155,Why is gradient descent used in machine learning?,It minimizes the cost function by adjusting weights.,It balances the dataset features.,It multiplies loss with accuracy.,It normalizes output probabilities.,A
156,Why is NAT used in routers?,To map private IP addresses to a public one.,To store website data offline.,To test bandwidth speeds.,To connect two different ISPs.,A
157,Why is transfer learning beneficial in deep learning?,It allows reuse of pretrained models on new tasks.,It resets model weights automatically.,It removes feature correlation.,It trains a model with zero data.,A
158,Why is an IP address important in a network?,It uniquely identifies each device.,It limits internet access.,It controls signal strength.,It stores login credentials.,A
159,Why is feature engineering critical in data science?,It improves model performance by creating better input variables.,It reduces the size of the dataset.,It increases the number of test cases.,It replaces model evaluation.,A
160,Why are APIs essential in modern software development?,They enable different systems to communicate.,They speed up computer boot time.,They replace firewalls in applications.,They encrypt data for browsers.,A
161,Why do load balancers improve system reliability?,They distribute traffic across multiple servers.,They block malicious users.,They reduce storage costs.,They encrypt database entries.,A
162,Why is L2 regularization useful in model training?,It discourages large weights to reduce overfitting.,It forces weights to become zero.,It increases model complexity.,It multiplies accuracy scores.,A
163,Why do we use ARP in computer networks?,To map IP addresses to MAC addresses.,To resolve domain names.,To assign dynamic IPs.,To monitor internet speed.,A
164,Why is early stopping used during training?,To prevent overfitting by halting when validation loss increases.,To decrease learning rate automatically.,To switch optimizers mid-training.,To reset all model weights.,A
165,Why do systems use RAID for storage?,To improve data redundancy and performance.,To cool hard drives.,To encrypt file systems.,To share files across browsers.,A
166,Why are SSL certificates important for websites?,They enable encrypted communication with users.,They boost page load speed.,They remove JavaScript errors.,They create backup copies.,A
167,Why is tokenization important in NLP?,It breaks text into meaningful units for processing.,It creates summaries of documents.,It sorts words alphabetically.,It removes stopwords automatically.,A
168,Why is AI used in fraud detection?,It can identify unusual patterns in large datasets.,It encrypts user credentials.,It stores audit logs.,It increases account balances.,A
169,Why are CDNs used in web delivery?,To cache content closer to users for faster access.,To block malware downloads.,To convert HTML to CSS.,To host server-side code.,A
170,Why is F1-score important in imbalanced datasets?,It balances precision and recall.,It measures only accuracy.,It increases true negatives.,It reduces memory usage.,A
171,Why is data preprocessing essential in machine learning?,It ensures data quality and consistency.,It reduces model memory usage.,It converts accuracy into loss.,It creates neural network layers.,A
172,Why is SSH preferred over Telnet for remote login?,It encrypts communication for security.,It uses more bandwidth.,It runs only on Windows systems.,It blocks all port access.,A
173,Why is dimensionality reduction used in data science?,To reduce noise and improve model efficiency.,To increase data complexity.,To duplicate features.,To slow down predictions.,A
174,Why do we use hashing in cybersecurity?,To verify data integrity.,To create new usernames.,To block email attachments.,To measure password length.,A
175,Why is JSON commonly used for APIs?,It is lightweight and easy to parse.,It encrypts data automatically.,It adds latency to requests.,It needs a database to run.,A
176,Why is modular programming useful in software development?,"It breaks code into manageable, reusable parts.",It speeds up Wi-Fi connection.,It merges all logic into one file.,It removes all function calls.,A
177,Why is bias a problem in AI models?,It causes unfair or inaccurate predictions.,It increases model size.,It improves precision but reduces speed.,It leads to zero loss.,A
178,Why is cloud computing scalable?,It adjusts resources based on demand.,It uses physical servers only.,It stores files in CSV format.,It avoids user input completely.,A
179,Why is it useful to use indexes in a database?,They speed up query retrieval.,They delete duplicate records.,They sort columns alphabetically.,They reduce data accuracy.,A
180,Why is two-factor authentication safer than passwords alone?,It requires both something you know and something you have.,It hides the login screen.,It replaces firewalls.,It delays account creation.,A
181,Why is scaling input features important for gradient-based algorithms?,It helps the algorithm converge faster.,It filters out noisy inputs.,It skips feature selection.,It combines features into one.,A
182,Why do operating systems use virtual memory?,To use hard drive space when RAM is full.,To increase screen resolution.,To secure user login sessions.,To reduce CPU power.,A
183,Why is precision important in classification problems?,It measures accuracy for positive predictions.,It counts all errors equally.,It increases the test set size.,It helps sort the dataset.,A
184,Why are convolutional layers used in image processing?,They capture spatial features in data.,They add color to grayscale images.,They split images into patches.,They change brightness.,A
185,Why is logging important in software applications?,It helps monitor and debug issues.,It stores password data.,It compresses memory usage.,It increases file size.,A
186,Why do we split data into training and test sets?,To evaluate how well the model generalizes.,To reduce the training time.,To increase validation loss.,To clean the dataset.,A
187,Why is recursion used in programming?,It simplifies problems by calling functions within themselves.,It speeds up database queries.,It reduces network load.,It stores user preferences.,A
188,Why is latency critical in online gaming?,It affects how quickly actions register.,It increases screen brightness.,It stores saved progress.,It adjusts speaker volume.,A
189,Why do companies use version control systems?,To track and manage changes in code.,To store large media files.,To delete outdated software.,To rename project folders.,A
190,Why is it better to use environment variables for secrets?,They keep sensitive data out of codebases.,They speed up code execution.,They double memory access.,They prevent app deployment.,A
191,Why do cloud-native applications benefit from microservices?,They allow independent deployment and scaling.,They store logs in shared folders.,They run only on one server.,They disable version control.,A
192,Why is HTTPS preferred for e-commerce websites?,"It encrypts data, ensuring secure transactions.",It compresses shopping cart size.,It supports only one browser type.,It reduces webpage loading speed.,A
193,Why is feature selection used before training a model?,It removes irrelevant inputs to improve accuracy.,It adds noise to training data.,It deletes all output labels.,It sorts columns alphabetically.,A
194,Why are edge computing solutions gaining popularity?,They reduce latency by processing data near the source.,They use centralized servers only.,They slow down client responses.,They store backups in the cloud.,A
195,Why is a confusion matrix useful in classification problems?,It visualizes true/false positives and negatives.,It changes output labels.,It compresses feature sets.,It measures training time.,A
196,Why do DevOps teams use CI/CD pipelines?,They automate integration and delivery steps.,They delete code after deployment.,They improve internet speed.,They increase server temperature.,A
197,Why is anomaly detection important in cybersecurity?,It identifies unusual patterns that may indicate threats.,It locks user accounts.,It changes encryption keys.,It shuts down all systems.,A
198,Why do we need encryption in communication?,To protect information from unauthorized access.,To speed up file downloads.,To improve keyboard accuracy.,To hide screen brightness.,A
199,Why is the softmax function used in classification?,It converts outputs into probabilities.,It filters missing values.,It renames class labels.,It adds training noise.,A
200,Why is monitoring CPU usage critical in servers?,To detect overload and maintain performance.,To cool the hard disk.,To rename operating systems.,To install graphic drivers.,A
201,Why is a GPU better than a CPU for deep learning?,It processes parallel tasks efficiently.,It stores more hard disk space.,It lowers the model's size.,It deletes test datasets.,A
202,Why is regularization used in machine learning?,To reduce overfitting by penalizing complexity.,To clean missing data entries.,To sort variables alphabetically.,To duplicate hidden layers.,A
203,Why do developers use REST APIs?,They allow standardized access to web services.,They restart servers automatically.,They store data as audio files.,They encrypt HTTP headers.,A
204,Why is JSON favored over XML in APIs?,It's lighter and easier to parse.,It supports images directly.,It replaces HTML in browsers.,It changes IP addresses.,A
205,Why is recall important in a classification model?,It measures how many actual positives were identified.,It increases test set length.,It counts all true negatives.,It filters noisy outputs.,A
206,Why is container orchestration needed in cloud apps?,It manages deployment and scaling of containers.,It builds new operating systems.,It encrypts Docker images.,It blocks internet traffic.,A
207,Why is the Adam optimizer popular in deep learning?,It adapts learning rates for each parameter.,It increases batch size.,It shortens training data.,It replaces backpropagation.,A
208,Why is IPv6 adoption important?,It provides more address space than IPv4.,It runs only on fiber networks.,It uses longer domain names.,It disables DNS lookups.,A
209,Why is Git used in software development?,It tracks changes and supports collaboration.,It compiles the codebase.,It stores only video files.,It scans for malware.,A
210,Why is synthetic data used in AI training?,It supplements real data when limited.,It skips data preprocessing.,It prevents model training.,It lowers GPU usage.,A
211,Why is transfer learning used in AI?,It reuses knowledge from existing models.,It skips the training process.,It stores new datasets locally.,It reduces server temperature.,A
212,Why is SSH used instead of Telnet?,It encrypts data during transfer.,It boosts internet speed.,It adds new network devices.,It removes DNS entries.,A
213,Why is anomaly detection used in monitoring systems?,It flags events that deviate from norms.,It labels training data.,It delays alerts by design.,It converts logs to images.,A
214,Why is a confusion matrix helpful?,It shows classification performance.,It measures training loss.,It predicts future outcomes.,It replaces test data.,A
